,state,county,fips,SUMLEV,REGION,DIVISION,Population,pop2019_18plus,hosp_cap,Days to Hospital Capacity,Total Deaths,Total Deaths per 100k,14-Day Avg Daily Deaths,14-Day Avg Daily Deaths per 100k,deaths_trend,Total Cases,Total Cases per 100k,14-Day Avg Daily Cases,14-Day Avg Daily Cases per 100k,cases_trend,Positivity Rate,positivity_trend,Hospitalized,Hospitalized per 100k,hospconcur_trend,14-Day Avg Daily Hosp Admits,14-Day Avg Daily Hosp Admits per 100k,hospadmits_trend,Model Est'd Active Infections,Model Est'd Active Infections per 100k,Current Reproduction Rate (Rt),"Vaccine Hesitant, % of Adults",Daily Vaccines Initiated,"Vaccines Initiated, % of Pop.","Vaccine & Acquired Immunity, % of Pop.",Forecasted Date Herd Immunity Achieved,Hyp. Pre-Immunity Rt,Riskiest State Rank,State,hosp_temp
10,LA,Louisiana,22000,40.0,3.0,7.0,"4,648,794",3560976.204,4427.0,"<span style=""color:transparent; font-size:0;"">038</span>38<span style=""color: #ffcc00""> ▶</span>","10,808",232,5.0▶,0.1▶,▶,"538,511","11,584",392.5▲,"<span style=""color:transparent; font-size:0;"">00000008.4</span>8.4▲",▲,"<span style=""color:transparent; font-size:0;"">0000006.7%</span>6.7%▲",▲,381▲,"<span style=""color:transparent; font-size:0;"">0000008.20</span>8.20▲",▲,92.36▲,1.99▲,▲,"12,461",268,"<span style=""color:transparent; font-size:0;"">001.32</span>1.32<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000023%</span>23%","<span style=""color:transparent; font-size:0;"">000003,296</span>3,296","<span style=""color:transparent; font-size:0;"">000000039%</span>39%","<span style=""color:transparent; font-size:0;"">000000042%</span>42%","<span style=""color:transparent; font-size:0;"">210911</span>September 11, 2021",2.52,11,"<a href=""/forecasts/LA"" target=""_top"">Louisiana</a>",38.0
11,AZ,Arizona,04000,40.0,4.0,8.0,"7,278,717",5641005.675,4916.0,"<span style=""color:transparent; font-size:0;"">068</span>68<span style=""color: #ffcc00""> ▶</span>","18,076",248,10.0▶,0.1▶,▶,"915,889","12,583",503.5▶,"<span style=""color:transparent; font-size:0;"">00000006.9</span>6.9▶",▶,"<span style=""color:transparent; font-size:0;"">0000006.7%</span>6.7%▲",▲,573▶,"<span style=""color:transparent; font-size:0;"">0000007.87</span>7.87▶",▶,169.14▲,2.32▲,▲,"17,073",235,"<span style=""color:transparent; font-size:0;"">001.21</span>1.21<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000018%</span>18%","<span style=""color:transparent; font-size:0;"">000005,277</span>5,277","<span style=""color:transparent; font-size:0;"">000000051%</span>51%","<span style=""color:transparent; font-size:0;"">000000054%</span>54%","<span style=""color:transparent; font-size:0;"">210917</span>September 17, 2021",2.92,12,"<a href=""/forecasts/AZ"" target=""_top"">Arizona</a>",68.0
12,KS,Kansas,20000,40.0,2.0,4.0,"2,913,314",2214118.64,3533.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>","5,196",178,2.9▶,0.1▶,▶,"301,967","10,365",179.2▲,"<span style=""color:transparent; font-size:0;"">00000006.2</span>6.2▲",▲,"<span style=""color:transparent; font-size:0;"">0000007.8%</span>7.8%▲",▲,186▶,"<span style=""color:transparent; font-size:0;"">0000006.38</span>6.38▶",▶,47.43▲,1.63▲,▲,"6,325",217,"<span style=""color:transparent; font-size:0;"">001.29</span>1.29<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000019%</span>19%","<span style=""color:transparent; font-size:0;"">000001,828</span>1,828","<span style=""color:transparent; font-size:0;"">000000050%</span>50%","<span style=""color:transparent; font-size:0;"">000000053%</span>53%","<span style=""color:transparent; font-size:0;"">210926</span>September 26, 2021",2.71,13,"<a href=""/forecasts/KS"" target=""_top"">Kansas</a>",
13,UT,Utah,49000,40.0,4.0,8.0,"3,205,958",2276230.18,2307.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>","2,406",75,2.5▶,0.1▶,▶,"512,225","15,977",344.9▶,"<span style=""color:transparent; font-size:0;"">00000010.8</span>10.8▶",▶,"<span style=""color:transparent; font-size:0;"">0000008.9%</span>8.9%▲",▲,235▲,"<span style=""color:transparent; font-size:0;"">0000007.33</span>7.33▲",▲,42.64▲,1.33▲,▲,"6,886",215,"<span style=""color:transparent; font-size:0;"">001.12</span>1.12<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000014%</span>14%","<span style=""color:transparent; font-size:0;"">000005,585</span>5,585","<span style=""color:transparent; font-size:0;"">000000050%</span>50%","<span style=""color:transparent; font-size:0;"">000000050%</span>50%","<span style=""color:transparent; font-size:0;"">210930</span>September 30, 2021",2.24,14,"<a href=""/forecasts/UT"" target=""_top"">Utah</a>",
14,OK,Oklahoma,40000,40.0,3.0,7.0,"3,956,971",3003340.9890000005,3084.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>","7,422",188,2.1▶,0.1▶,▶,"481,571","12,170",234.1▶,"<span style=""color:transparent; font-size:0;"">00000005.9</span>5.9▶",▶,"<span style=""color:transparent; font-size:0;"">0000013.1%</span>13.1%▲",▲,305▶,"<span style=""color:transparent; font-size:0;"">0000007.71</span>7.71▶",▶,117.21▲,2.96▲,▲,"7,844",198,"<span style=""color:transparent; font-size:0;"">001.19</span>1.19<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000021%</span>21%","<span style=""color:transparent; font-size:0;"">000003,050</span>3,050","<span style=""color:transparent; font-size:0;"">000000046%</span>46%","<span style=""color:transparent; font-size:0;"">000000050%</span>50%","<span style=""color:transparent; font-size:0;"">210927</span>September 27, 2021",2.48,15,"<a href=""/forecasts/OK"" target=""_top"">Oklahoma</a>",
15,ID,Idaho,16000,40.0,4.0,8.0,"1,787,065",1338511.685,1368.0,"<span style=""color:transparent; font-size:0;"">053</span>53<span style=""color: #ffcc00""> ▶</span>","2,165",121,0.9▼,0.1▼,▼,"232,203","12,994",95.6▶,"<span style=""color:transparent; font-size:0;"">00000005.4</span>5.4▶",▶,"<span style=""color:transparent; font-size:0;"">0000005.7%</span>5.7%▶",▶,93▶,"<span style=""color:transparent; font-size:0;"">0000005.20</span>5.20▶",▶,12.93▶,0.72▶,▶,"3,243",181,"<span style=""color:transparent; font-size:0;"">001.23</span>1.23<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000025%</span>25%","<span style=""color:transparent; font-size:0;"">0000000843</span>843","<span style=""color:transparent; font-size:0;"">000000040%</span>40%","<span style=""color:transparent; font-size:0;"">000000043%</span>43%","<span style=""color:transparent; font-size:0;"">210927</span>September 27, 2021",2.55,16,"<a href=""/forecasts/ID"" target=""_top"">Idaho</a>",53.0
16,SC,South Carolina,45000,40.0,3.0,5.0,"5,148,714",4036591.776,2180.0,"<span style=""color:transparent; font-size:0;"">057</span>57<span style=""color: #ffcc00""> ▶</span>","9,875",192,1.9▶,0.0▶,▶,"633,339","12,301",175.1▶,"<span style=""color:transparent; font-size:0;"">00000003.4</span>3.4▶",▶,"<span style=""color:transparent; font-size:0;"">0000003.8%</span>3.8%▲",▲,163▶,"<span style=""color:transparent; font-size:0;"">0000003.17</span>3.17▶",▶,47.50▲,0.92▲,▲,"8,442",164,"<span style=""color:transparent; font-size:0;"">001.37</span>1.37<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000018%</span>18%","<span style=""color:transparent; font-size:0;"">000003,109</span>3,109","<span style=""color:transparent; font-size:0;"">000000045%</span>45%","<span style=""color:transparent; font-size:0;"">000000050%</span>50%","<span style=""color:transparent; font-size:0;"">210927</span>September 27, 2021",2.79,17,"<a href=""/forecasts/SC"" target=""_top"">South Carolina</a>",57.0
17,TX,Texas,48000,40.0,3.0,7.0,"28,995,881",21601931.345,16449.0,"<span style=""color:transparent; font-size:0;"">050</span>50<span style=""color: #ffcc00""> ▶</span>","51,549",178,6.2▶,0.0▶,▶,"3,257,678","11,235","1,344.9▶","<span style=""color:transparent; font-size:0;"">00000004.6</span>4.6▶",▶,"<span style=""color:transparent; font-size:0;"">0000006.4%</span>6.4%▲",▲,"2,302▶","<span style=""color:transparent; font-size:0;"">0000007.94</span>7.94▶",▶,734.07▲,2.53▲,▲,"46,938",162,"<span style=""color:transparent; font-size:0;"">001.20</span>1.20<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000017%</span>17%","<span style=""color:transparent; font-size:0;"">000027,422</span>27,422","<span style=""color:transparent; font-size:0;"">000000049%</span>49%","<span style=""color:transparent; font-size:0;"">000000052%</span>52%","<span style=""color:transparent; font-size:0;"">210927</span>September 27, 2021",2.69,18,"<a href=""/forecasts/TX"" target=""_top"">Texas</a>",50.0
18,IN,Indiana,18000,40.0,2.0,3.0,"6,732,219",5163611.973,6326.0,"<span style=""color:transparent; font-size:0;"">062</span>62<span style=""color: #ffcc00""> ▶</span>","13,938",207,5.1▶,0.1▶,▶,"843,981","12,536",166.3▶,"<span style=""color:transparent; font-size:0;"">00000002.5</span>2.5▶",▶,"<span style=""color:transparent; font-size:0;"">0000004.0%</span>4.0%▶",▶,390▶,"<span style=""color:transparent; font-size:0;"">0000005.79</span>5.79▶",▶,110.57▼,1.64▼,▼,"10,473",156,"<span style=""color:transparent; font-size:0;"">001.12</span>1.12<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000018%</span>18%","<span style=""color:transparent; font-size:0;"">000003,746</span>3,746","<span style=""color:transparent; font-size:0;"">000000046%</span>46%","<span style=""color:transparent; font-size:0;"">000000050%</span>50%","<span style=""color:transparent; font-size:0;"">210928</span>September 28, 2021",2.45,19,"<a href=""/forecasts/IN"" target=""_top"">Indiana</a>",62.0
19,AL,Alabama,01000,40.0,3.0,6.0,"4,903,185",3814677.93,3885.0,"<span style=""color:transparent; font-size:0;"">058</span>58<span style=""color: #ffcc00""> ▶</span>","11,437",233,3.8▶,0.1▶,▶,"552,802","11,274",214.8▶,"<span style=""color:transparent; font-size:0;"">00000004.4</span>4.4▶",▶,"<span style=""color:transparent; font-size:0;"">0000007.7%</span>7.7%▲",▲,346▲,"<span style=""color:transparent; font-size:0;"">0000007.06</span>7.06▲",▲,127.50▲,2.60▲,▲,"7,494",153,"<span style=""color:transparent; font-size:0;"">001.21</span>1.21<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000021%</span>21%","<span style=""color:transparent; font-size:0;"">000003,138</span>3,138","<span style=""color:transparent; font-size:0;"">000000041%</span>41%","<span style=""color:transparent; font-size:0;"">000000045%</span>45%","<span style=""color:transparent; font-size:0;"">211001</span>October 01, 2021",2.36,20,"<a href=""/forecasts/AL"" target=""_top"">Alabama</a>",58.0
