,state,county,fips,SUMLEV,REGION,DIVISION,Population,pop2019_18plus,hosp_cap,Days to Hospital Capacity,Total Deaths,Total Deaths per 100k,14-Day Avg Daily Deaths,14-Day Avg Daily Deaths per 100k,deaths_trend,Total Cases,Total Cases per 100k,14-Day Avg Daily Cases,14-Day Avg Daily Cases per 100k,cases_trend,Positivity Rate,positivity_trend,Hospitalized,Hospitalized per 100k,hospconcur_trend,14-Day Avg Daily Hosp Admits,14-Day Avg Daily Hosp Admits per 100k,hospadmits_trend,Model Est'd Active Infections,Model Est'd Active Infections per 100k,Current Reproduction Rate (Rt),"Vaccine Hesitant, % of Adults",Daily Vaccines Initiated,"Vaccines Initiated, % of Pop.","Vaccine & Acquired Immunity, % of Pop.",Forecasted Date Herd Immunity Achieved,Hyp. Pre-Immunity Rt,Riskiest State Rank,State,hosp_temp
20,WV,West Virginia,54000,40.0,3.0,5.0,"1,792,147",1431925.4530000002,1425.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>","2,916",163,1.8▶,0.1▶,▶,"198,184","11,058",54.1▶,"<span style=""color:transparent; font-size:0;"">00000003.0</span>3.0▶",▶,"<span style=""color:transparent; font-size:0;"">0000002.5%</span>2.5%▶",▶,101▼,"<span style=""color:transparent; font-size:0;"">0000005.64</span>5.64▼",▼,70.43▶,3.93▶,▶,"2,671",149,"<span style=""color:transparent; font-size:0;"">001.05</span>1.05<span style=""color: #ffcc00""> ▶</span>","<span style=""color:transparent; font-size:0;"">000000020%</span>20%","<span style=""color:transparent; font-size:0;"">000004,506</span>4,506","<span style=""color:transparent; font-size:0;"">000000046%</span>46%","<span style=""color:transparent; font-size:0;"">000000051%</span>51%","<span style=""color:transparent; font-size:0;"">210924</span>September 24, 2021",2.55,21,"<a href=""/forecasts/WV"" target=""_top"">West Virginia</a>",
21,CO,Colorado,08000,40.0,4.0,8.0,"5,758,736",4497572.816,3552.0,"<span style=""color:transparent; font-size:0;"">062</span>62<span style=""color: #ffcc00""> ▶</span>","6,869",119,5.4▶,0.1▶,▶,"550,687","9,563",230.6▶,"<span style=""color:transparent; font-size:0;"">00000004.0</span>4.0▶",▶,"<span style=""color:transparent; font-size:0;"">0000002.6%</span>2.6%▶",▶,348▶,"<span style=""color:transparent; font-size:0;"">0000006.04</span>6.04▶",▶,109.07▲,1.89▲,▲,"8,371",145,"<span style=""color:transparent; font-size:0;"">001.13</span>1.13<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000015%</span>15%","<span style=""color:transparent; font-size:0;"">000004,099</span>4,099","<span style=""color:transparent; font-size:0;"">000000059%</span>59%","<span style=""color:transparent; font-size:0;"">000000059%</span>59%","<span style=""color:transparent; font-size:0;"">210927</span>September 27, 2021",3.10,22,"<a href=""/forecasts/CO"" target=""_top"">Colorado</a>",62.0
22,NY,New York,36000,40.0,1.0,2.0,"19,453,561",15426673.873,12955.0,"<span style=""color:transparent; font-size:0;"">052</span>52<span style=""color: #ffcc00""> ▶</span>","53,425",275,5.2▶,0.0▶,▶,"2,388,681","12,279",446.6▶,"<span style=""color:transparent; font-size:0;"">00000002.3</span>2.3▶",▶,"<span style=""color:transparent; font-size:0;"">0000001.0%</span>1.0%▶",▶,727▶,"<span style=""color:transparent; font-size:0;"">0000003.74</span>3.74▶",▶,207.93▶,1.07▶,▶,"26,381",136,"<span style=""color:transparent; font-size:0;"">001.28</span>1.28<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000013%</span>13%","<span style=""color:transparent; font-size:0;"">000017,153</span>17,153","<span style=""color:transparent; font-size:0;"">000000061%</span>61%","<span style=""color:transparent; font-size:0;"">000000065%</span>65%","<span style=""color:transparent; font-size:0;"">210917</span>September 17, 2021",4.34,23,"<a href=""/forecasts/NY"" target=""_top"">New York</a>",52.0
23,CA,California,06000,40.0,4.0,9.0,"39,512,223",30621972.825,17318.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>","63,508",161,5.4▶,0.0▶,▶,"3,810,439","9,644","1,587.0▶","<span style=""color:transparent; font-size:0;"">00000004.0</span>4.0▶",▶,"<span style=""color:transparent; font-size:0;"">0000002.2%</span>2.2%▶",▶,"1,662▶","<span style=""color:transparent; font-size:0;"">0000004.21</span>4.21▶",▶,547.21▲,1.38▲,▲,"52,168",132,"<span style=""color:transparent; font-size:0;"">001.28</span>1.28<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000011%</span>11%","<span style=""color:transparent; font-size:0;"">000039,422</span>39,422","<span style=""color:transparent; font-size:0;"">000000063%</span>63%","<span style=""color:transparent; font-size:0;"">000000063%</span>63%","<span style=""color:transparent; font-size:0;"">210924</span>September 24, 2021",3.55,24,"<a href=""/forecasts/CA"" target=""_top"">California</a>",
24,MT,Montana,30000,40.0,4.0,8.0,"1,068,778",840059.5079999999,1041.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>","1,683",157,1.3▶,0.1▶,▶,"145,390","13,603",40.7▶,"<span style=""color:transparent; font-size:0;"">00000003.8</span>3.8▶",▶,"<span style=""color:transparent; font-size:0;"">0000004.4%</span>4.4%▶",▶,58▶,"<span style=""color:transparent; font-size:0;"">0000005.43</span>5.43▶",▶,20.64▼,1.93▼,▼,"1,391",130,"<span style=""color:transparent; font-size:0;"">001.09</span>1.09<span style=""color: #ffcc00""> ▶</span>","<span style=""color:transparent; font-size:0;"">000000024%</span>24%","<span style=""color:transparent; font-size:0;"">0000000479</span>479","<span style=""color:transparent; font-size:0;"">000000048%</span>48%","<span style=""color:transparent; font-size:0;"">000000051%</span>51%","<span style=""color:transparent; font-size:0;"">211012</span>October 12, 2021",2.55,25,"<a href=""/forecasts/MT"" target=""_top"">Montana</a>",
25,TN,Tennessee,47000,40.0,3.0,6.0,"6,829,174",5319926.546,6240.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>","12,625",185,2.9▶,0.0▶,▶,"796,780","11,667",98.4▶,"<span style=""color:transparent; font-size:0;"">00000001.4</span>1.4▶",▶,"<span style=""color:transparent; font-size:0;"">0000004.1%</span>4.1%▲",▲,295▶,"<span style=""color:transparent; font-size:0;"">0000004.32</span>4.32▶",▶,52.50▶,0.77▶,▶,"8,803",129,"<span style=""color:transparent; font-size:0;"">001.09</span>1.09<span style=""color: #ffcc00""> ▶</span>","<span style=""color:transparent; font-size:0;"">000000024%</span>24%","<span style=""color:transparent; font-size:0;"">000004,439</span>4,439","<span style=""color:transparent; font-size:0;"">000000043%</span>43%","<span style=""color:transparent; font-size:0;"">000000049%</span>49%","Not Achieved. More vaccinations needed.<span style=""color: red""> 🟥</span>",2.15,26,"<a href=""/forecasts/TN"" target=""_top"">Tennessee</a>",
26,WY,Wyoming,56000,40.0,4.0,8.0,"578,759",445065.67100000003,922.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>",760,131,0.9▶,0.2▶,▶,"54,234","9,371",37.7▶,"<span style=""color:transparent; font-size:0;"">00000006.5</span>6.5▶",▶,"<span style=""color:transparent; font-size:0;"">0000005.4%</span>5.4%▲",▲,45▲,"<span style=""color:transparent; font-size:0;"">0000007.78</span>7.78▲",▲,14.29▲,2.47▲,▲,700,121,"<span style=""color:transparent; font-size:0;"">000.91</span>0.91<span style=""color: green""> 🟢</span>","<span style=""color:transparent; font-size:0;"">000000031%</span>31%","<span style=""color:transparent; font-size:0;"">0000000405</span>405","<span style=""color:transparent; font-size:0;"">000000040%</span>40%","<span style=""color:transparent; font-size:0;"">000000044%</span>44%","Not Achieved. More vaccinations needed.<span style=""color: red""> 🟥</span>",1.59,27,"<a href=""/forecasts/WY"" target=""_top"">Wyoming</a>",
27,KY,Kentucky,21000,40.0,3.0,6.0,"4,467,673",3466914.2479999997,5226.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>","7,276",163,2.2▶,0.0▶,▶,"501,775","11,231",163.0▶,"<span style=""color:transparent; font-size:0;"">00000003.6</span>3.6▶",▶,"<span style=""color:transparent; font-size:0;"">0000003.5%</span>3.5%▶",▶,233▶,"<span style=""color:transparent; font-size:0;"">0000005.22</span>5.22▶",▶,106.93▼,2.39▼,▼,"5,391",121,"<span style=""color:transparent; font-size:0;"">001.19</span>1.19<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000019%</span>19%","<span style=""color:transparent; font-size:0;"">000002,829</span>2,829","<span style=""color:transparent; font-size:0;"">000000050%</span>50%","<span style=""color:transparent; font-size:0;"">000000053%</span>53%","<span style=""color:transparent; font-size:0;"">211002</span>October 02, 2021",2.55,28,"<a href=""/forecasts/KY"" target=""_top"">Kentucky</a>",
28,ND,North Dakota,38000,40.0,2.0,4.0,"762,062",582215.368,661.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>","1,536",202,0.6▶,0.1▶,▶,"100,067","13,131",6.1▶,"<span style=""color:transparent; font-size:0;"">00000000.8</span>0.8▶",▶,"<span style=""color:transparent; font-size:0;"">0000001.3%</span>1.3%▶",▶,36▶,"<span style=""color:transparent; font-size:0;"">0000004.72</span>4.72▶",▶,8.36▼,1.10▼,▼,897,118,"<span style=""color:transparent; font-size:0;"">000.98</span>0.98<span style=""color: green""> 🟢</span>","<span style=""color:transparent; font-size:0;"">000000029%</span>29%","<span style=""color:transparent; font-size:0;"">0000000315</span>315","<span style=""color:transparent; font-size:0;"">000000044%</span>44%","<span style=""color:transparent; font-size:0;"">000000048%</span>48%","<span style=""color:transparent; font-size:0;"">211017</span>October 17, 2021",2.33,29,"<a href=""/forecasts/ND"" target=""_top"">North Dakota</a>",
29,NC,North Carolina,37000,40.0,3.0,5.0,"10,488,084",8191193.603999999,5837.0,"<span style=""color:transparent; font-size:0;"">044</span>44<span style=""color: #ffcc00""> ▶</span>","13,512",129,2.4▶,0.0▶,▶,"1,004,162","9,574",392.9▶,"<span style=""color:transparent; font-size:0;"">00000003.7</span>3.7▶",▶,"<span style=""color:transparent; font-size:0;"">0000003.6%</span>3.6%▶",▶,447▶,"<span style=""color:transparent; font-size:0;"">0000004.26</span>4.26▶",▶,142.79▶,1.36▶,▶,"12,332",118,"<span style=""color:transparent; font-size:0;"">001.25</span>1.25<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000018%</span>18%","<span style=""color:transparent; font-size:0;"">000006,845</span>6,845","<span style=""color:transparent; font-size:0;"">000000050%</span>50%","<span style=""color:transparent; font-size:0;"">000000050%</span>50%","<span style=""color:transparent; font-size:0;"">210923</span>September 23, 2021",2.93,30,"<a href=""/forecasts/NC"" target=""_top"">North Carolina</a>",44.0
30,NM,New Mexico,35000,40.0,4.0,8.0,"2,096,829",1620848.8169999998,1114.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>","4,362",208,1.1▶,0.1▶,▶,"275,262","13,128",53.4▶,"<span style=""color:transparent; font-size:0;"">00000002.5</span>2.5▶",▶,"<span style=""color:transparent; font-size:0;"">0000002.4%</span>2.4%▶",▶,84▶,"<span style=""color:transparent; font-size:0;"">0000004.01</span>4.01▶",▶,45.36▶,2.16▶,▶,"2,353",112,"<span style=""color:transparent; font-size:0;"">001.27</span>1.27<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000015%</span>15%","<span style=""color:transparent; font-size:0;"">000001,452</span>1,452","<span style=""color:transparent; font-size:0;"">000000064%</span>64%","<span style=""color:transparent; font-size:0;"">000000064%</span>64%","<span style=""color:transparent; font-size:0;"">210925</span>September 25, 2021",3.34,31,"<a href=""/forecasts/NM"" target=""_top"">New Mexico</a>",
31,ME,Maine,23000,40.0,1.0,1.0,"1,344,212",1095532.78,817.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>",877,65,1.3▲,0.1▲,▲,"62,917","4,681",14.6▶,"<span style=""color:transparent; font-size:0;"">00000001.1</span>1.1▶",▶,"<span style=""color:transparent; font-size:0;"">0000000.8%</span>0.8%▶",▶,48▶,"<span style=""color:transparent; font-size:0;"">0000003.57</span>3.57▶",▶,19.29▼,1.43▼,▼,"1,473",110,"<span style=""color:transparent; font-size:0;"">001.40</span>1.40<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000012%</span>12%","<span style=""color:transparent; font-size:0;"">0000000726</span>726","<span style=""color:transparent; font-size:0;"">000000067%</span>67%","<span style=""color:transparent; font-size:0;"">000000065%</span>65%","<span style=""color:transparent; font-size:0;"">211003</span>October 03, 2021",3.90,32,"<a href=""/forecasts/ME"" target=""_top"">Maine</a>",
32,WA,Washington,53000,40.0,4.0,9.0,"7,614,893",5954846.326,3684.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>","6,027",79,6.9▶,0.1▶,▶,"326,107","4,282",168.3▼,"<span style=""color:transparent; font-size:0;"">00000002.2</span>2.2▼",▼,"<span style=""color:transparent; font-size:0;"">0000002.1%</span>2.1%▶",▶,493▶,"<span style=""color:transparent; font-size:0;"">0000006.47</span>6.47▶",▶,187.29▶,2.46▶,▶,"7,525",99,"<span style=""color:transparent; font-size:0;"">000.96</span>0.96<span style=""color: green""> 🟢</span>","<span style=""color:transparent; font-size:0;"">000000011%</span>11%","<span style=""color:transparent; font-size:0;"">000006,436</span>6,436","<span style=""color:transparent; font-size:0;"">000000063%</span>63%","<span style=""color:transparent; font-size:0;"">000000063%</span>63%","<span style=""color:transparent; font-size:0;"">210709</span>July 09, 2021",2.55,33,"<a href=""/forecasts/WA"" target=""_top"">Washington</a>",
33,IA,Iowa,19000,40.0,2.0,4.0,"3,155,070",2429403.9,3032.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>","6,158",195,1.4▶,0.0▶,▶,"373,417","11,835",88.1▶,"<span style=""color:transparent; font-size:0;"">00000002.8</span>2.8▶",▶,"<span style=""color:transparent; font-size:0;"">0000004.3%</span>4.3%▲",▲,194▲,"<span style=""color:transparent; font-size:0;"">0000006.15</span>6.15▲",▲,63.07▲,2.00▲,▲,"3,067",97,"<span style=""color:transparent; font-size:0;"">001.13</span>1.13<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000020%</span>20%","<span style=""color:transparent; font-size:0;"">000001,721</span>1,721","<span style=""color:transparent; font-size:0;"">000000052%</span>52%","<span style=""color:transparent; font-size:0;"">000000054%</span>54%","<span style=""color:transparent; font-size:0;"">211017</span>October 17, 2021",2.55,34,"<a href=""/forecasts/IA"" target=""_top"">Iowa</a>",
34,DE,Delaware,10000,40.0,3.0,5.0,"973,764",770247.3239999999,739.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>","1,696",174,0.1▼,0.0▼,▼,"126,600","13,001",21.4▶,"<span style=""color:transparent; font-size:0;"">00000002.2</span>2.2▶",▶,"<span style=""color:transparent; font-size:0;"">0000001.6%</span>1.6%▶",▶,40▶,"<span style=""color:transparent; font-size:0;"">0000004.11</span>4.11▶",▶,44.36▲,4.56▲,▲,906,93,"<span style=""color:transparent; font-size:0;"">001.11</span>1.11<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000013%</span>13%","<span style=""color:transparent; font-size:0;"">0000000709</span>709","<span style=""color:transparent; font-size:0;"">000000059%</span>59%","<span style=""color:transparent; font-size:0;"">000000060%</span>60%","<span style=""color:transparent; font-size:0;"">210907</span>September 07, 2021",2.87,35,"<a href=""/forecasts/DE"" target=""_top"">Delaware</a>",
35,OR,Oregon,41000,40.0,4.0,9.0,"4,217,737",3353100.915,1894.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>","2,803",66,2.1▶,0.0▶,▶,"206,146","4,888",129.8▼,"<span style=""color:transparent; font-size:0;"">00000003.1</span>3.1▼",▼,"<span style=""color:transparent; font-size:0;"">0000002.7%</span>2.7%▶",▶,154▶,"<span style=""color:transparent; font-size:0;"">0000003.65</span>3.65▶",▶,54.79▼,1.30▼,▼,"3,558",84,"<span style=""color:transparent; font-size:0;"">001.14</span>1.14<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000015%</span>15%","<span style=""color:transparent; font-size:0;"">000002,165</span>2,165","<span style=""color:transparent; font-size:0;"">000000060%</span>60%","<span style=""color:transparent; font-size:0;"">000000060%</span>60%","<span style=""color:transparent; font-size:0;"">210825</span>August 25, 2021",2.72,36,"<a href=""/forecasts/OR"" target=""_top"">Oregon</a>",
36,OH,Ohio,39000,40.0,2.0,3.0,"11,689,100",9105808.9,8799.0,"<span style=""color:transparent; font-size:0;"">067</span>67<span style=""color: #ffcc00""> ▶</span>","20,411",175,7.3▼,0.1▼,▼,"966,653","8,270",154.1▶,"<span style=""color:transparent; font-size:0;"">00000001.3</span>1.3▶",▶,"<span style=""color:transparent; font-size:0;"">0000001.4%</span>1.4%▶",▶,546▼,"<span style=""color:transparent; font-size:0;"">0000004.67</span>4.67▼",▼,211.21▼,1.81▼,▼,"9,856",84,"<span style=""color:transparent; font-size:0;"">001.10</span>1.10<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000021%</span>21%","<span style=""color:transparent; font-size:0;"">000005,281</span>5,281","<span style=""color:transparent; font-size:0;"">000000049%</span>49%","<span style=""color:transparent; font-size:0;"">000000054%</span>54%","<span style=""color:transparent; font-size:0;"">211011</span>October 11, 2021",2.74,37,"<a href=""/forecasts/OH"" target=""_top"">Ohio</a>",67.0
37,NJ,New Jersey,34000,40.0,1.0,2.0,"8,882,190",6945872.58,6540.0,"<span style=""color:transparent; font-size:0;"">072</span>72<span style=""color: #ffcc00""> ▶</span>","26,527",299,5.0▶,0.1▶,▶,"1,013,040","11,405",230.8▶,"<span style=""color:transparent; font-size:0;"">00000002.6</span>2.6▶",▶,"<span style=""color:transparent; font-size:0;"">0000001.5%</span>1.5%▶",▶,339▶,"<span style=""color:transparent; font-size:0;"">0000003.82</span>3.82▶",▶,142.79▶,1.61▶,▶,"7,453",84,"<span style=""color:transparent; font-size:0;"">001.14</span>1.14<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000012%</span>12%","<span style=""color:transparent; font-size:0;"">000007,956</span>7,956","<span style=""color:transparent; font-size:0;"">000000064%</span>64%","<span style=""color:transparent; font-size:0;"">000000066%</span>66%","<span style=""color:transparent; font-size:0;"">211005</span>October 05, 2021",3.59,38,"<a href=""/forecasts/NJ"" target=""_top"">New Jersey</a>",72.0
38,PA,Pennsylvania,42000,40.0,1.0,2.0,"12,801,989",10164779.266,5032.0,"<span style=""color:transparent; font-size:0;"">076</span>76<span style=""color: #ffcc00""> ▶</span>","27,772",217,6.7▶,0.1▶,▶,"1,251,190","9,773",139.9▶,"<span style=""color:transparent; font-size:0;"">00000001.1</span>1.1▶",▶,"<span style=""color:transparent; font-size:0;"">0000001.3%</span>1.3%▶",▶,465▶,"<span style=""color:transparent; font-size:0;"">0000003.63</span>3.63▶",▶,319.00▶,2.49▶,▶,"10,664",83,"<span style=""color:transparent; font-size:0;"">001.08</span>1.08<span style=""color: #ffcc00""> ▶</span>","<span style=""color:transparent; font-size:0;"">000000015%</span>15%","<span style=""color:transparent; font-size:0;"">000009,448</span>9,448","<span style=""color:transparent; font-size:0;"">000000064%</span>64%","<span style=""color:transparent; font-size:0;"">000000065%</span>65%","<span style=""color:transparent; font-size:0;"">211014</span>October 14, 2021",3.52,39,"<a href=""/forecasts/PA"" target=""_top"">Pennsylvania</a>",76.0
39,SD,South Dakota,46000,40.0,2.0,4.0,"884,659",667917.545,988.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>","2,040",231,0.4▶,0.0▶,▶,"70,862","8,010",25.3▶,"<span style=""color:transparent; font-size:0;"">00000002.9</span>2.9▶",▶,"<span style=""color:transparent; font-size:0;"">0000006.5%</span>6.5%▲",▲,33▶,"<span style=""color:transparent; font-size:0;"">0000003.73</span>3.73▶",▶,13.43▲,1.52▲,▲,707,80,"<span style=""color:transparent; font-size:0;"">000.97</span>0.97<span style=""color: green""> 🟢</span>","<span style=""color:transparent; font-size:0;"">000000021%</span>21%","<span style=""color:transparent; font-size:0;"">0000000467</span>467","<span style=""color:transparent; font-size:0;"">000000051%</span>51%","<span style=""color:transparent; font-size:0;"">000000053%</span>53%","Not Achieved. More vaccinations needed.<span style=""color: red""> 🟥</span>",2.03,40,"<a href=""/forecasts/SD"" target=""_top"">South Dakota</a>",
40,MD,Maryland,24000,40.0,3.0,5.0,"6,045,680",4709584.720000001,1756.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>","9,773",162,2.1▶,0.0▶,▶,"950,449","15,721",90.1▶,"<span style=""color:transparent; font-size:0;"">00000001.5</span>1.5▶",▶,"<span style=""color:transparent; font-size:0;"">0000000.9%</span>0.9%▶",▶,262▶,"<span style=""color:transparent; font-size:0;"">0000004.33</span>4.33▶",▶,200.71▶,3.32▶,▶,"4,773",79,"<span style=""color:transparent; font-size:0;"">001.08</span>1.08<span style=""color: #ffcc00""> ▶</span>","<span style=""color:transparent; font-size:0;"">000000012%</span>12%","<span style=""color:transparent; font-size:0;"">000005,009</span>5,009","<span style=""color:transparent; font-size:0;"">000000063%</span>63%","<span style=""color:transparent; font-size:0;"">000000063%</span>63%","<span style=""color:transparent; font-size:0;"">210906</span>September 06, 2021",3.08,41,"<a href=""/forecasts/MD"" target=""_top"">Maryland</a>",
41,VA,Virginia,51000,40.0,3.0,5.0,"8,535,519",6674775.858000001,4571.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>","11,471",134,3.7▶,0.0▶,▶,"951,193","11,144",171.1▶,"<span style=""color:transparent; font-size:0;"">00000002.0</span>2.0▶",▶,"<span style=""color:transparent; font-size:0;"">0000002.7%</span>2.7%▶",▶,236▶,"<span style=""color:transparent; font-size:0;"">0000002.76</span>2.76▶",▶,136.79▼,1.60▼,▼,"6,600",77,"<span style=""color:transparent; font-size:0;"">001.17</span>1.17<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000014%</span>14%","<span style=""color:transparent; font-size:0;"">000006,408</span>6,408","<span style=""color:transparent; font-size:0;"">000000060%</span>60%","<span style=""color:transparent; font-size:0;"">000000062%</span>62%","<span style=""color:transparent; font-size:0;"">210909</span>September 09, 2021",2.99,42,"<a href=""/forecasts/VA"" target=""_top"">Virginia</a>",
42,WI,Wisconsin,55000,40.0,2.0,3.0,"5,822,434",4553143.388,4107.0,"<span style=""color:transparent; font-size:0;"">093</span>93<span style=""color: #ffcc00""> ▶</span>","8,196",141,4.9▶,0.1▶,▶,"744,126","12,780",100.5▶,"<span style=""color:transparent; font-size:0;"">00000001.7</span>1.7▶",▶,"<span style=""color:transparent; font-size:0;"">0000001.7%</span>1.7%▶",▶,101▶,"<span style=""color:transparent; font-size:0;"">0000001.73</span>1.73▶",▶,51.07▶,0.88▶,▶,"4,034",69,"<span style=""color:transparent; font-size:0;"">001.19</span>1.19<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000017%</span>17%","<span style=""color:transparent; font-size:0;"">000003,145</span>3,145","<span style=""color:transparent; font-size:0;"">000000054%</span>54%","<span style=""color:transparent; font-size:0;"">000000057%</span>57%","<span style=""color:transparent; font-size:0;"">211010</span>October 10, 2021",3.06,43,"<a href=""/forecasts/WI"" target=""_top"">Wisconsin</a>",93.0
43,NE,Nebraska,31000,40.0,2.0,4.0,"1,934,408",1458543.6320000002,1551.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>","2,270",117,0.6▶,0.0▶,▶,"259,344","13,407",57.9▶,"<span style=""color:transparent; font-size:0;"">00000003.0</span>3.0▶",▶,"<span style=""color:transparent; font-size:0;"">0000006.9%</span>6.9%▲",▲,73▲,"<span style=""color:transparent; font-size:0;"">0000003.77</span>3.77▲",▲,15.64▶,0.81▶,▶,"1,219",63,"<span style=""color:transparent; font-size:0;"">000.98</span>0.98<span style=""color: green""> 🟢</span>","<span style=""color:transparent; font-size:0;"">000000018%</span>18%","<span style=""color:transparent; font-size:0;"">000001,169</span>1,169","<span style=""color:transparent; font-size:0;"">000000052%</span>52%","<span style=""color:transparent; font-size:0;"">000000055%</span>55%","<span style=""color:transparent; font-size:0;"">211028</span>October 28, 2021",2.11,44,"<a href=""/forecasts/NE"" target=""_top"">Nebraska</a>",
44,MI,Michigan,26000,40.0,2.0,3.0,"9,986,857",7839682.745,4886.0,"<span style=""color:transparent; font-size:0;"">053</span>53<span style=""color: #ffcc00""> ▶</span>","21,096",211,3.4▼,0.0▼,▼,"1,090,794","10,922",155.1▶,"<span style=""color:transparent; font-size:0;"">00000001.6</span>1.6▶",▶,"<span style=""color:transparent; font-size:0;"">0000001.7%</span>1.7%▶",▶,286▶,"<span style=""color:transparent; font-size:0;"">0000002.86</span>2.86▶",▶,62.36▶,0.62▶,▶,"5,204",52,"<span style=""color:transparent; font-size:0;"">001.17</span>1.17<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000019%</span>19%","<span style=""color:transparent; font-size:0;"">000007,165</span>7,165","<span style=""color:transparent; font-size:0;"">000000052%</span>52%","<span style=""color:transparent; font-size:0;"">000000057%</span>57%","<span style=""color:transparent; font-size:0;"">211006</span>October 06, 2021",3.13,45,"<a href=""/forecasts/MI"" target=""_top"">Michigan</a>",53.0
45,CT,Connecticut,09000,40.0,1.0,1.0,"3,565,287",2837968.452,1513.0,"<span style=""color:transparent; font-size:0;"">121</span>120+<span style=""color: green""> 🟢</span>","8,279",232,0.1▶,0.0▶,▶,"475,074","13,325",50.6▶,"<span style=""color:transparent; font-size:0;"">00000001.4</span>1.4▶",▶,"<span style=""color:transparent; font-size:0;"">0000000.8%</span>0.8%▶",▶,59▶,"<span style=""color:transparent; font-size:0;"">0000001.65</span>1.65▶",▶,28.00▼,0.79▼,▼,"1,821",51,"<span style=""color:transparent; font-size:0;"">001.21</span>1.21<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000010%</span>10%","<span style=""color:transparent; font-size:0;"">000003,038</span>3,038","<span style=""color:transparent; font-size:0;"">000000068%</span>68%","<span style=""color:transparent; font-size:0;"">000000068%</span>68%","<span style=""color:transparent; font-size:0;"">211030</span>October 30, 2021",3.76,46,"<a href=""/forecasts/CT"" target=""_top"">Connecticut</a>",
46,RI,Rhode Island,44000,40.0,1.0,1.0,"1,059,361",854904.327,255.0,"<span style=""color:transparent; font-size:0;"">050</span>50<span style=""color: #ffcc00""> ▶</span>","2,732",258,0.1▶,0.0▶,▶,"182,014","17,181",13.6▶,"<span style=""color:transparent; font-size:0;"">00000001.3</span>1.3▶",▶,"<span style=""color:transparent; font-size:0;"">0000000.5%</span>0.5%▶",▶,78▶,"<span style=""color:transparent; font-size:0;"">0000007.36</span>7.36▶",▶,2.36▶,0.22▶,▶,520,49,"<span style=""color:transparent; font-size:0;"">001.27</span>1.27<span style=""color: red""> 🟥</span>","<span style=""color:transparent; font-size:0;"">000000013%</span>13%","<span style=""color:transparent; font-size:0;"">0000000800</span>800","<span style=""color:transparent; font-size:0;"">000000066%</span>66%","<span style=""color:transparent; font-size:0;"">000000065%</span>65%","<span style=""color:transparent; font-size:0;"">211021</span>October 21, 2021",3.42,47,"<a href=""/forecasts/RI"" target=""_top"">Rhode Island</a>",50.0
